"FFMC","s(FFMC)"
12.8,-1.44141865506029
12.9,-1.43934674083706
13,-1.43727618507463
13.1,-1.43520701160378
13.2,-1.4331392442553
13.3,-1.43107290685997
13.4,-1.42900802324858
13.5,-1.42694461725191
13.6,-1.42488271270075
13.7,-1.42282233342588
13.8,-1.4207635032581
13.9,-1.41870624602818
14,-1.41665058556691
14.1,-1.41459654570508
14.2,-1.41254415027347
14.3,-1.41049342310286
14.4,-1.40844438802406
14.5,-1.40639706886783
14.6,-1.40435148946496
14.7,-1.40230767364624
14.8,-1.40026564524246
14.9,-1.3982254280844
15,-1.39618704600285
15.1,-1.39415052282858
15.2,-1.3921158823924
15.3,-1.39008314852508
15.4,-1.38805234505741
15.5,-1.38602349582017
15.6,-1.38399662464415
15.7,-1.38197175536013
15.8,-1.37994891179891
15.9,-1.37792811779126
16,-1.37590939716798
16.1,-1.37389277375984
16.2,-1.37187827139763
16.3,-1.36986591391214
16.4,-1.36785572513416
16.5,-1.36584772889446
16.6,-1.36384194902384
16.7,-1.36183840935309
16.8,-1.35983713371297
16.9,-1.35783814593429
17,-1.35584146984783
17.1,-1.35384712928436
17.2,-1.35185514807469
17.3,-1.34986555004959
17.4,-1.34787835903985
17.5,-1.34589359887625
17.6,-1.34391129338958
17.7,-1.34193146641063
17.8,-1.33995414177018
17.9,-1.33797934329902
18,-1.33600709482793
18.1,-1.3340374201877
18.2,-1.33207034320911
18.3,-1.33010588772295
18.4,-1.32814407756
18.5,-1.32618493655106
18.6,-1.3242284885269
18.7,-1.32227475731831
18.8,-1.32032376675607
18.9,-1.31837554067098
19,-1.31643010289382
19.1,-1.31448747725537
19.2,-1.31254768758642
19.3,-1.31061075771775
19.4,-1.30867671148015
19.5,-1.30674557270441
19.6,-1.30481736522131
19.7,-1.30289211286164
19.8,-1.30096983945617
19.9,-1.29905056883571
20,-1.29713432483102
20.1,-1.29522113127291
20.2,-1.29331101199215
20.3,-1.29140399081953
20.4,-1.28950009158583
20.5,-1.28759933812185
20.6,-1.28570175425836
20.7,-1.28380736382615
20.8,-1.28191619065601
20.9,-1.28002825857872
21,-1.27814359142507
21.1,-1.27626221302585
21.2,-1.27438414721183
21.3,-1.27250941781381
21.4,-1.27063804866257
21.5,-1.26877006358504
21.6,-1.26690548256829
21.7,-1.26504431455401
21.8,-1.26318656650998
21.9,-1.26133224540398
22,-1.2594813582038
22.1,-1.25763391187723
22.2,-1.25578991339204
22.3,-1.25394936971601
22.4,-1.25211228781694
22.5,-1.25027867466261
22.6,-1.24844853722079
22.7,-1.24662188245927
22.8,-1.24479871734585
22.9,-1.24297904884828
23,-1.24116288393438
23.1,-1.2393502295719
23.2,-1.23754109272865
23.3,-1.2357354803724
23.4,-1.23393339947094
23.5,-1.23213485699204
23.6,-1.2303398599035
23.7,-1.22854841517309
23.8,-1.2267605297686
23.9,-1.22497621065782
24,-1.22319546480852
24.1,-1.2214182991885
24.2,-1.21964472076552
24.3,-1.21787473650738
24.4,-1.21610835338187
24.5,-1.21434557835675
24.6,-1.21258641839983
24.7,-1.21083088047887
24.8,-1.20907897156167
24.9,-1.207330698616
25,-1.20558606860966
25.1,-1.20384508851042
25.2,-1.20210776528606
25.3,-1.20037410590438
25.4,-1.19864411733315
25.5,-1.19691780654016
25.6,-1.19519518049319
25.7,-1.19347624616003
25.8,-1.19176101050845
25.9,-1.19004948050624
26,-1.18834166312119
26.1,-1.18663756532108
26.2,-1.18493719407369
26.3,-1.1832405563468
26.4,-1.1815476591082
26.5,-1.17985850932567
26.6,-1.178173113967
26.7,-1.17649147999997
26.8,-1.17481361439236
26.9,-1.17313952411196
27,-1.17146921612654
27.1,-1.16980269740389
27.2,-1.16813997491181
27.3,-1.16648105561806
27.4,-1.16482594649043
27.5,-1.16317465449671
27.6,-1.16152718660468
27.7,-1.15988354978212
27.8,-1.15824375099682
27.9,-1.15660779721656
28,-1.15497569540912
28.1,-1.15334745254228
28.2,-1.15172307558384
28.3,-1.15010257150157
28.4,-1.14848594726326
28.5,-1.14687320983668
28.6,-1.14526436618963
28.7,-1.14365942328989
28.8,-1.14205838810524
28.9,-1.14046126760346
29,-1.13886806875233
29.1,-1.13727879851965
29.2,-1.1356934638732
29.3,-1.13411207178075
29.4,-1.13253462921009
29.5,-1.130961143129
29.6,-1.12939162050527
29.7,-1.12782606830669
29.8,-1.12626449350103
29.9,-1.12470690305607
30,-1.12315330393961
30.1,-1.12160370311942
30.2,-1.12005810756329
30.3,-1.118516524239
30.4,-1.11697896011434
30.5,-1.11544542215708
30.6,-1.11391591733502
30.7,-1.11239045261593
30.8,-1.1108690349676
30.9,-1.10935167135782
31,-1.10783836875435
31.1,-1.106329134125
31.2,-1.10482397443754
31.3,-1.10332289665975
31.4,-1.10182590775943
31.5,-1.10033301470434
31.6,-1.09884422446229
31.7,-1.09735954400104
31.8,-1.09587898028838
31.9,-1.0944025402921
32,-1.09293023097998
32.1,-1.0914620593198
32.2,-1.08999803227935
32.3,-1.08853815231314
32.4,-1.08708236940896
32.5,-1.08563059970507
32.6,-1.08418275877559
32.7,-1.08273876219463
32.8,-1.08129852553632
32.9,-1.07986196437475
33,-1.07842899428406
33.1,-1.07699953083835
33.2,-1.07557348961175
33.3,-1.07415078617835
33.4,-1.07273133611228
33.5,-1.07131505498766
33.6,-1.06990185837859
33.7,-1.0684916618592
33.8,-1.0670843810036
33.9,-1.06567993138589
34,-1.0642782285802
34.1,-1.06287918816065
34.2,-1.06148272570134
34.3,-1.06008875677639
34.4,-1.05869719695992
34.5,-1.05730796182604
34.6,-1.05592096694886
34.7,-1.05453612790251
34.8,-1.05315336026109
34.9,-1.05177257959872
35,-1.05039370148951
35.1,-1.04901664150759
35.2,-1.04764131522705
35.3,-1.04626763822203
35.4,-1.04489552606663
35.5,-1.04352489433497
35.6,-1.04215565860116
35.7,-1.04078773443932
35.8,-1.03942103742356
35.9,-1.038055483128
36,-1.03669098712675
36.1,-1.03532746499393
36.2,-1.03396483230364
36.3,-1.03260300463002
36.4,-1.03124189754717
