"FISHNET_AB","X","Y","te(X,Y)"
341,-110.196339777,59.6249599511,-2.22786524582464
342,-110.057180665,59.6188119358,-2.18335956309522
404,-111.444730258,59.5748935105,-0.509648768728762
405,-111.268013143,59.5699707784,-0.107493956201496
406,-111.091358006,59.5648099421,-0.217839634473057
407,-110.914767741,59.5594111735,-0.676609850385405
408,-110.738245235,59.5537746521,-1.26237340099301
409,-110.561793366,59.5479005654,-1.75906962407096
410,-110.385415007,59.5417891085,-2.04714949445998
411,-110.209113024,59.5354404844,-2.19012517395942
412,-110.063667056,59.5291713936,-2.25683168164344
474,-111.454170059,59.4852310178,-0.677077741454371
475,-111.277919572,59.4803257876,-0.128301976220359
476,-111.101730525,59.4751832943,-0.101873085754063
477,-110.925605785,59.4698037083,-0.460135495899873
478,-110.749548215,59.4641872078,-0.99746004382165
479,-110.57356067,59.4583339788,-1.51313008544228
480,-110.397645997,59.4522442148,-1.88071799330204
481,-110.221807037,59.4459181171,-2.14101013678776
482,-110.070112534,59.4395048595,-2.32686946431625
544,-111.463551294,59.3955663739,-0.846583177108319
545,-111.287764561,59.3906785533,-0.160880570182
546,-111.112038734,59.3855543064,-0.0020104081300331
547,-110.936376658,59.3801938021,-0.259590540166128
548,-110.76078117,59.3745972172,-0.744111216897911
549,-110.585255101,59.3687647362,-1.27079917071231
550,-110.409801274,59.3626965511,-1.71055447197945
551,-110.234422504,59.3563928615,-2.08260377467264
552,-110.076517667,59.3498195423,-2.39497098598025
614,-111.472874471,59.3058995846,-1.01430054707355
615,-111.297548641,59.3010290823,-0.203251394530177
616,-111.122283192,59.295922986,0.0819902324411546
617,-110.947080942,59.2905814633,-0.0759719695633081
618,-110.771944706,59.2850046896,-0.504216750310295
619,-110.596877289,59.279192848,-1.03446608838039
620,-110.421881491,59.2731461288,-1.53900886868078
621,-110.246960104,59.2668647301,-2.01703783128032
622,-110.082892927,59.260123081,-2.46263133451558
684,-111.482140093,59.2162306557,-1.17600178145481
685,-111.30727234,59.2113773811,-0.253082486790957
686,-111.132464449,59.2062893404,0.150628067818714
687,-110.957719212,59.2009667002,0.0899008724676026
688,-110.783039421,59.1954096343,-0.27955239274634
689,-110.608427857,59.1896183242,-0.806493619131149
690,-110.433887295,59.1835929589,-1.36844206904331
691,-110.259420506,59.1773337351,-1.94648758925033
692,-110.089251179,59.1704138993,-2.53133901134203
754,-111.491348654,59.126559593,-1.32709773628886
755,-111.316936178,59.1217234562,-0.307695615120934
756,-111.142583049,59.1166533771,0.204670233593299
757,-110.968292037,59.1113495209,0.237395794318881
758,-110.794065908,59.1058120602,-0.0717720891385738
759,-110.61990742,59.1000411749,-0.589225056984136
760,-110.445819327,59.0940370526,-1.20122058364559
761,-110.271804374,59.0877998883,-1.87316720485515
762,-110.09793354,59.0813028799,-2.59211071268656
763,-110.009949912,59.058771313,-3.00413867982438
824,-111.500500646,59.0368864021,-1.46264146715182
825,-111.32654067,59.032067314,-0.364061810183475
826,-111.152639531,59.0270151032,0.245162182231995
827,-110.978799977,59.0217299336,0.366077286120124
828,-110.805024751,59.0162119763,0.117599887270737
829,-110.631316589,59.01046141,-0.384961855312771
830,-110.457678219,59.0044784207,-1.03971122449123
831,-110.284112364,58.9982632018,-1.79932499059069
832,-110.110621738,58.9918159541,-2.63410791316716
833,-110.015416954,58.9827051927,-3.12285064036009
895,-111.336086323,58.9424089608,-0.418797948507578
896,-111.162634426,58.9373745259,0.273438006936851
897,-110.989243589,58.9321079462,0.47571607124877
898,-110.815916531,58.9266093916,0.287176977388344
899,-110.642655964,58.9208790393,-0.195922153630412
900,-110.469464595,58.9149170739,-0.886275766864388
901,-110.296345123,58.9087236872,-1.72723863812434
902,-110.12330024,58.9022990785,-2.67273712102681
903,-110.021697199,58.8952804286,-3.26328105499597
965,-111.34557364,58.8527484028,-0.468164382949514
966,-111.17256826,58.8477316521,0.291130653790407
967,-110.999623421,58.8424835666,0.566298643306933
968,-110.826741818,58.8370043147,0.435718471752447
969,-110.653926141,58.8312940724,-0.0242324629471486
970,-110.481179073,58.8253530228,-0.743265604437429
971,-110.308503292,58.8191813562,-1.65921037066576
972,-110.135901466,58.8127792702,-2.71032721459205
973,-110.028036518,58.8064597922,-3.41190917761564
1035,-111.355003118,58.7630856462,-0.508063501342579
1036,-111.182441554,58.7580864888,0.300182022989152
1037,-111.009940016,58.7528568025,0.638036797018472
1038,-110.837501178,58.7473967544,0.56213778834185
1039,-110.665127707,58.7417065189,0.12807855516221
1040,-110.492822264,58.7357862779,-0.613016423623828
1041,-110.320587504,58.72963622,-1.59756207420732
1042,-110.148426074,58.7232565416,-2.74900037639097
1043,-110.034362759,58.7172118337,-3.56884770522693
1105,-111.364375248,58.673420697,-0.534039193774306
1106,-111.19225482,58.6684390429,0.30285296662066
1107,-111.02019391,58.6632276616,0.691377128718224
1108,-110.84819517,58.657786719,0.665510819254385
1109,-110.676261244,58.6521163882,0.259086576400612
1110,-110.504394772,58.6462168494,-0.497842888296074
1111,-110.332598385,58.6400882901,-1.54463038092902
1112,-110.160874709,58.6337309049,-2.79092501790576
1113,-110.040666641,58.6277725028,-3.73528232932059
1176,-111.202008567,58.5787893211,0.301733129009156
1177,-111.030385634,58.5735961515,0.727010498095769
1178,-110.858824347,58.5681742171,0.745084358295271
1179,-110.687327327,58.5625236895,0.366978292099046
1180,-110.515897193,58.5566447477,-0.400033349817579
1181,-110.344536554,58.5505375776,-1.50276173055358
