fishnet_id,date,day_of_year,latitude,longitude,forest_area,region_ci,nsr_numerical_code,ffmc_interpolated,logit,probability
7740,2020-08-01,214,50.1803,-114.1495,Calgary Forest Area,Slopes,9,87.3,-5.810569201356,0.002986776856
7741,2020-08-01,214,50.1792,-114.0094,Calgary Forest Area,Slopes,9,86.2,-7.000686996834,0.00091042609
7806,2020-08-01,214,50.1021,-114.6764,Calgary Forest Area,Slopes,8,92.1,-5.289010590807,0.005021409289
7807,2020-08-01,214,50.0926,-114.5706,Calgary Forest Area,Slopes,8,91.2,-4.893903362692,0.007436406404
7808,2020-08-01,214,50.092,-114.4308,Calgary Forest Area,Slopes,8,90.1,-4.658849455125,0.00938838317
7809,2020-08-01,214,50.0913,-114.2909,Calgary Forest Area,Slopes,9,88.9,-5.593927945304,0.00370659569
7810,2020-08-01,214,50.0903,-114.1511,Calgary Forest Area,Slopes,9,87.8,-5.41835688591,0.004414849606
7811,2020-08-01,214,50.0892,-114.0113,Calgary Forest Area,Slopes,9,86.7,-7.466210711823,0.000571764914
7812,2020-08-01,214,50.088,-113.8714,Calgary Forest Area,Slopes,18,85.6,-10.911724965676,1.8242743e-05
7876,2020-08-01,214,50.0039,-114.6538,Calgary Forest Area,Slopes,8,91.9,-69.214764545931,0.0
7877,2020-08-01,214,50.0027,-114.5714,Calgary Forest Area,Slopes,8,91.3,-4.45509637272,0.011485744879
7878,2020-08-01,214,50.0021,-114.4318,Calgary Forest Area,Slopes,8,90.3,-4.052624335593,0.017079919574
7879,2020-08-01,214,50.0013,-114.2923,Calgary Forest Area,Slopes,8,89.2,-7.162413534454,0.000774580926
7880,2020-08-01,214,50.0004,-114.1527,Calgary Forest Area,Slopes,9,88.2,-5.665312376399,0.003452107186
7881,2020-08-01,214,49.9993,-114.0131,Calgary Forest Area,Slopes,18,87.1,-9.439894666776,7.9482463e-05
7882,2020-08-01,214,49.998,-113.8735,Calgary Forest Area,Slopes,18,86.1,-10.377031629206,3.1138587e-05
7946,2020-08-01,214,49.9156,-114.6644,Calgary Forest Area,Slopes,8,91.8,-4.847028658412,0.007790504432
7947,2020-08-01,214,49.9127,-114.5722,Calgary Forest Area,Slopes,8,91.2,-3.402307188585,0.032223437117
7948,2020-08-01,214,49.9121,-114.4329,Calgary Forest Area,Slopes,8,90.3,-3.580523179832,0.027105916915
7949,2020-08-01,214,49.9113,-114.2936,Calgary Forest Area,Slopes,9,89.4,-6.470275005682,0.001546404674
7950,2020-08-01,214,49.9104,-114.1543,Calgary Forest Area,Slopes,9,88.4,-6.288722425132,0.001853688513
7951,2020-08-01,214,49.9093,-114.0149,Calgary Forest Area,Slopes,9,87.4,-6.053552500085,0.002343993349
7952,2020-08-01,214,49.908,-113.8756,Calgary Forest Area,Slopes,18,86.4,-10.521971282524,2.6937311e-05
8016,2020-08-01,214,49.8523,-114.6513,Calgary Forest Area,Slopes,8,91.5,-6.498252296744,0.001503804223
8017,2020-08-01,214,49.8229,-114.5726,Calgary Forest Area,Slopes,8,90.9,-3.675063494733,0.024721168874
8018,2020-08-01,214,49.8221,-114.434,Calgary Forest Area,Slopes,8,90.2,-3.919878798752,0.019457396809
8019,2020-08-01,214,49.8214,-114.2949,Calgary Forest Area,Slopes,9,89.4,-5.227383347363,0.005338895165
8020,2020-08-01,214,49.8204,-114.1558,Calgary Forest Area,Slopes,18,88.5,-8.429893024285,0.000218197216
8021,2020-08-01,214,49.8193,-114.0168,Calgary Forest Area,Slopes,9,87.6,-6.380272011448,0.001691794906
8022,2020-08-01,214,49.8181,-113.8777,Calgary Forest Area,Slopes,9,86.7,-8.01426794652,0.000330600916
8086,2020-08-01,214,49.7149,-114.6541,Calgary Forest Area,West Boreal,6,90.9,-10.848808858128,1.9427358e-05
8087,2020-08-01,214,49.7328,-114.5729,Calgary Forest Area,Slopes,7,90.5,-5.163876046565,0.005686961161
8088,2020-08-01,214,49.7321,-114.435,Calgary Forest Area,Slopes,8,89.9,-3.730017029712,0.023430278009
8089,2020-08-01,214,49.7314,-114.2962,Calgary Forest Area,Slopes,9,89.2,-4.676525652588,0.009225407855
8091,2020-08-01,214,49.7294,-114.0186,Calgary Forest Area,Slopes,9,87.7,-5.986071824229,0.002507216291
8092,2020-08-01,214,49.7281,-113.8798,Calgary Forest Area,Slopes,18,86.9,-10.023130402089,4.4359895e-05
8156,2020-08-01,214,49.6269,-114.6825,Calgary Forest Area,Slopes,9,90.7,-3.690358128113,0.024355083056
8157,2020-08-01,214,49.6428,-114.5746,Calgary Forest Area,Slopes,9,90.0,-2.744843826859,0.060378512846
8158,2020-08-01,214,49.6422,-114.436,Calgary Forest Area,Slopes,9,89.5,-2.845780936583,0.054899816163
8159,2020-08-01,214,49.6414,-114.2975,Calgary Forest Area,Slopes,9,89.0,-4.894338163116,0.007433197783
8161,2020-08-01,214,49.6394,-114.0204,Calgary Forest Area,Slopes,18,87.7,-8.806608847592,0.000149717769
8226,2020-08-01,214,49.5763,-114.6844,Calgary Forest Area,Slopes,8,90.5,-4.370119455837,0.01249171261
8227,2020-08-01,214,49.5597,-114.5645,Calgary Forest Area,Slopes,7,89.5,-6.467195860744,0.00155116622
8228,2020-08-01,214,49.5522,-114.4371,Calgary Forest Area,Slopes,8,89.0,-2.864619699652,0.053930507824
8229,2020-08-01,214,49.5514,-114.2988,Calgary Forest Area,Slopes,9,88.8,-3.336778981681,0.034330781448
8297,2020-08-01,214,49.4621,-114.5525,Calgary Forest Area,Slopes,8,89.2,-4.127576259591,0.015866114799
8298,2020-08-01,214,49.4622,-114.4381,Calgary Forest Area,Slopes,9,88.8,-3.648936307108,0.025358980087
8299,2020-08-01,214,49.4615,-114.3001,Calgary Forest Area,Slopes,9,88.6,-3.9327942228,0.019212509209
8300,2020-08-01,214,49.4605,-114.162,Calgary Forest Area,Slopes,9,88.3,-4.437753666528,0.011684328341
8367,2020-08-01,214,49.3954,-114.5444,Calgary Forest Area,Slopes,8,89.2,-4.795264268074,0.008201000811
8368,2020-08-01,214,49.3739,-114.4362,Calgary Forest Area,Slopes,8,88.9,-4.379725426541,0.01237376976
8369,2020-08-01,214,49.3715,-114.3013,Calgary Forest Area,Slopes,9,88.7,-3.836594643313,0.021111607159
8370,2020-08-01,214,49.3706,-114.1636,Calgary Forest Area,Slopes,9,88.2,-4.551708295765,0.010439044649
8371,2020-08-01,214,49.3695,-114.0258,Calgary Forest Area,Slopes,9,87.7,-5.539218673474,0.003914214655
8438,2020-08-01,214,49.2935,-114.4153,Calgary Forest Area,Slopes,8,88.9,-4.802694127963,0.008140788522
8439,2020-08-01,214,49.2815,-114.3026,Calgary Forest Area,Slopes,8,88.7,-5.125976706179,0.005905332374
8440,2020-08-01,214,49.2806,-114.1651,Calgary Forest Area,Slopes,7,88.2,-7.250142588443,0.000709569287
8441,2020-08-01,214,49.2795,-114.0275,Calgary Forest Area,Slopes,9,87.7,-4.949198850598,0.007039184686
8508,2020-08-01,214,49.2217,-114.386,Calgary Forest Area,Slopes,7,88.9,-8.222393361262,0.000268499395
8509,2020-08-01,214,49.2125,-114.2977,Calgary Forest Area,Slopes,8,88.7,-5.480795766514,0.004148729543
8510,2020-08-01,214,49.1962,-114.1592,Calgary Forest Area,Slopes,8,88.2,-5.343859330735,0.004754682521
8511,2020-08-01,214,49.1895,-114.0293,Calgary Forest Area,Slopes,8,87.7,-5.987114514247,0.002504609948
8512,2020-08-01,214,49.1883,-113.892,Calgary Forest Area,Slopes,14,87.2,-6.267041650327,0.001894239791
8584,2020-08-01,214,49.0954,-113.62,Calgary Forest Area,Slopes,14,86.3,-8.0370803302,0.000323146903
8654,2020-08-01,214,49.0241,-113.6225,Calgary Forest Area,Slopes,9,86.3,-7.928820410859,0.000360081358
4562,2020-08-01,214,54.1839,-118.3623,Edson Forest Area,Slopes,10,83.9,-6.702417443707,0.001226433849
4563,2020-08-01,214,54.1881,-118.2093,Edson Forest Area,Slopes,8,82.7,-6.319110964085,0.001798304706
4630,2020-08-01,214,54.0852,-118.6604,Edson Forest Area,Slopes,8,86.1,-6.562870629868,0.001409836609
4631,2020-08-01,214,54.0898,-118.5078,Edson Forest Area,Slopes,10,85.7,-7.061197014976,0.000857015633
4632,2020-08-01,214,54.0941,-118.3551,Edson Forest Area,Slopes,8,84.7,-6.452287949623,0.001574427417
4633,2020-08-01,214,54.0983,-118.2024,Edson Forest Area,Slopes,10,83.4,-7.232032606744,0.00072252727
4697,2020-08-01,214,53.9807,-119.1092,Edson Forest Area,Slopes,8,82.2,-4.973820687556,0.006869159332
4698,2020-08-01,214,53.9858,-118.957,Edson Forest Area,Slopes,8,85.0,-5.502229181255,0.004061111552
4699,2020-08-01,214,53.9908,-118.8048,Edson Forest Area,Slopes,8,86.5,-6.065746845272,0.002315649244
4700,2020-08-01,214,53.9955,-118.6525,Edson Forest Area,Slopes,8,86.8,-5.780766649423,0.003076852116
4701,2020-08-01,214,54.0,-118.5002,Edson Forest Area,Slopes,8,86.4,-6.328761933265,0.001781063565
4702,2020-08-01,214,54.0044,-118.3478,Edson Forest Area,Slopes,8,85.4,-5.8457432727,0.002883843625
4703,2020-08-01,214,54.0085,-118.1954,Edson Forest Area,Slopes,10,84.2,-6.358465029785,0.001729028559
4761,2020-08-01,214,53.857,-119.9679,Edson Forest Area,Slopes,8,57.7,-8.444419704326,0.000215051123
4764,2020-08-01,214,53.8746,-119.5556,Edson Forest Area,Slopes,8,70.1,-8.412558240938,0.000222011744
4765,2020-08-01,214,53.8803,-119.4039,Edson Forest Area,Slopes,7,74.8,-73.109977780991,0.0
4766,2020-08-01,214,53.8857,-119.2522,Edson Forest Area,Slopes,8,79.0,-7.25568049899,0.000705653382
4767,2020-08-01,214,53.891,-119.1004,Edson Forest Area,Slopes,9,82.7,-5.382903818784,0.004573448527
4768,2020-08-01,214,53.8961,-118.9485,Edson Forest Area,Slopes,10,85.5,-6.100615603609,0.002236474398
4769,2020-08-01,214,53.901,-118.7966,Edson Forest Area,Slopes,10,87.1,-5.331941739503,0.004811411613
4770,2020-08-01,214,53.9058,-118.6447,Edson Forest Area,Slopes,10,87.5,-5.143937228735,0.005800826074
4771,2020-08-01,214,53.9103,-118.4927,Edson Forest Area,Slopes,10,87.1,-6.617580169265,0.001334877251
4772,2020-08-01,214,53.9146,-118.3406,Edson Forest Area,Slopes,8,86.2,-6.315129856485,0.001805465269
4773,2020-08-01,214,53.9187,-118.1886,Edson Forest Area,Slopes,10,85.1,-6.568899308946,0.001401374601
4774,2020-08-01,214,53.9227,-118.0365,Edson Forest Area,Slopes,10,83.8,-6.905723154303,0.001001031123
4777,2020-08-01,214,53.9334,-117.58,Edson Forest Area,Slopes,10,79.3,-6.392838519918,0.001670703272
4778,2020-08-01,214,53.9365,-117.4277,Edson Forest Area,Slopes,11,77.9,-7.310067522175,0.000668324937
4779,2020-08-01,214,53.9395,-117.2755,Edson Forest Area,Slopes,11,76.9,-7.593063641396,0.000503680989
4831,2020-08-01,214,53.7973,-119.9556,Edson Forest Area,Slopes,8,58.7,-8.459403175641,0.000211853608
4832,2020-08-01,214,53.7752,-119.8417,Edson Forest Area,Slopes,8,62.2,-8.575178962383,0.000188697062
4833,2020-08-01,214,53.7791,-119.6972,Edson Forest Area,Slopes,8,66.5,-8.822144718633,0.000147410088
4834,2020-08-01,214,53.785,-119.5459,Edson Forest Area,Slopes,8,71.0,-8.571845086085,0.000189327085
4835,2020-08-01,214,53.7906,-119.3945,Edson Forest Area,Slopes,10,75.5,-9.006195187237,0.00012263258
4836,2020-08-01,214,53.7961,-119.2431,Edson Forest Area,Slopes,9,79.7,-9.086611424375,0.000113158101
4837,2020-08-01,214,53.8013,-119.0916,Edson Forest Area,Slopes,8,83.2,-8.747328980425,0.000158859904
4838,2020-08-01,214,53.8064,-118.9401,Edson Forest Area,Slopes,10,85.9,-9.085590484945,0.000113273675
4839,2020-08-01,214,53.8113,-118.7885,Edson Forest Area,Slopes,10,87.5,-7.205429845322,0.000741991988
4840,2020-08-01,214,53.816,-118.6369,Edson Forest Area,Slopes,8,88.0,-5.556482887285,0.00384747656
4841,2020-08-01,214,53.8205,-118.4852,Edson Forest Area,Slopes,8,87.8,-5.331654641559,0.004812786509
4842,2020-08-01,214,53.8248,-118.3335,Edson Forest Area,Slopes,8,87.0,-7.11969877231,0.000808356442
4843,2020-08-01,214,53.829,-118.1818,Edson Forest Area,Slopes,10,86.0,-7.853743061237,0.000388145115
4844,2020-08-01,214,53.8329,-118.03,Edson Forest Area,Slopes,10,84.8,-6.557500162041,0.001417417698
4845,2020-08-01,214,53.8366,-117.8782,Edson Forest Area,Slopes,10,83.5,-6.726332221388,0.001197486592
4846,2020-08-01,214,53.8402,-117.7263,Edson Forest Area,Slopes,10,82.0,-6.811573021443,0.001099748925
4847,2020-08-01,214,53.8435,-117.5744,Edson Forest Area,Slopes,11,80.5,-7.183841943387,0.000758171911
4848,2020-08-01,214,53.8467,-117.4225,Edson Forest Area,Slopes,11,79.0,-7.48020866031,0.000563821616
4849,2020-08-01,214,53.8497,-117.2706,Edson Forest Area,Slopes,10,77.8,-6.589304369258,0.001373108102
4850,2020-08-01,214,53.8525,-117.1186,Edson Forest Area,Slopes,11,76.9,-7.492841075263,0.000556747925
4851,2020-08-01,214,53.8551,-116.9666,Edson Forest Area,Slopes,10,76.2,-6.585404295332,0.001378466385
4852,2020-08-01,214,53.8574,-116.8146,Edson Forest Area,Slopes,10,75.6,-6.023265473923,0.002415897815
4853,2020-08-01,214,53.8596,-116.6626,Edson Forest Area,Slopes,10,75.4,-6.079716745693,0.002283598124
4854,2020-08-01,214,53.8617,-116.5105,Edson Forest Area,Slopes,11,76.1,-6.733807517566,0.001188578999
4855,2020-08-01,214,53.8635,-116.3585,Edson Forest Area,Slopes,11,76.7,-6.731130700841,0.001191761073
4856,2020-08-01,214,53.8651,-116.2064,Edson Forest Area,Slopes,11,77.1,-6.552588774181,0.001424386369
4857,2020-08-01,214,53.8665,-116.0543,Edson Forest Area,Slopes,11,77.4,-6.501903248791,0.001498332127
4902,2020-08-01,214,53.7125,-119.8213,Edson Forest Area,Slopes,7,63.4,-10.05666793427,4.2896907e-05
4903,2020-08-01,214,53.6907,-119.685,Edson Forest Area,Slopes,8,67.6,-8.54699929838,0.000194089065
4904,2020-08-01,214,53.6953,-119.5362,Edson Forest Area,Slopes,7,71.9,-72.801232081661,0.0
4905,2020-08-01,214,53.701,-119.3851,Edson Forest Area,Slopes,10,76.2,-9.172139599272,0.000103883187
4906,2020-08-01,214,53.7064,-119.234,Edson Forest Area,Slopes,8,80.2,-8.373252107201,0.000230909882
4907,2020-08-01,214,53.7117,-119.0829,Edson Forest Area,Slopes,7,83.6,-9.521678204537,7.3241274e-05
4908,2020-08-01,214,53.7167,-118.9317,Edson Forest Area,Slopes,8,86.3,-7.921907700578,0.000362578214
4909,2020-08-01,214,53.7216,-118.7804,Edson Forest Area,Slopes,8,87.9,-8.060676272486,0.000315613582
4910,2020-08-01,214,53.7263,-118.6291,Edson Forest Area,Slopes,8,88.5,-7.749855910344,0.000430619098
