"FFMC","s(FFMC)"
27,-1.37982750303051
27.1,-1.37630011150971
27.2,-1.3727789580677
27.3,-1.36926398236246
27.4,-1.365755124052
27.5,-1.36225232279431
27.6,-1.35875551824741
27.7,-1.35526465006928
27.8,-1.35177965791792
27.9,-1.34830048145135
28,-1.34482706032755
28.1,-1.34135933420453
28.2,-1.33789724274029
28.3,-1.33444072559282
28.4,-1.33098972242013
28.5,-1.32754417288022
28.6,-1.32410401663108
28.7,-1.32066919333073
28.8,-1.31723964263715
28.9,-1.31381530420835
29,-1.31039611770232
29.1,-1.30698202277707
29.2,-1.3035729590906
29.3,-1.30016886630091
29.4,-1.29676968406599
29.5,-1.29337535204385
29.6,-1.28998580989249
29.7,-1.28660099726991
29.8,-1.2832208538341
29.9,-1.27984531924307
30,-1.27647433315482
30.1,-1.27310783522735
30.2,-1.26974576511865
30.3,-1.26638806248673
30.4,-1.26303466698959
30.5,-1.25968551828522
30.6,-1.25634055603164
30.7,-1.25299971988683
30.8,-1.24966294950879
30.9,-1.24633018455554
31,-1.24300136468506
31.1,-1.23967642955536
31.2,-1.23635531882444
31.3,-1.23303797215029
31.4,-1.22972432919092
31.5,-1.22641432960433
31.6,-1.22310791304852
31.7,-1.21980501918149
31.8,-1.21650559177179
31.9,-1.21320962237336
32,-1.20991713336936
32.1,-1.20662814765677
32.2,-1.20334268813259
32.3,-1.20006077769381
32.4,-1.19678243923741
32.5,-1.19350769566039
32.6,-1.19023656985974
32.7,-1.18696908473244
32.8,-1.18370526317549
32.9,-1.18044512808588
33,-1.17718870236059
33.1,-1.17393600889662
33.2,-1.17068707059095
33.3,-1.16744191034059
33.4,-1.1642005510425
33.5,-1.1609630155937
33.6,-1.15772932689116
33.7,-1.15449950783187
33.8,-1.15127358131283
33.9,-1.14805157023103
34,-1.14483349748345
34.1,-1.14161938596709
34.2,-1.13840925857893
34.3,-1.13520313821597
34.4,-1.13200104777519
34.5,-1.12880301015359
34.6,-1.12560904824815
34.7,-1.12241918495587
34.8,-1.11923344317373
34.9,-1.11605184579873
35,-1.11287441572785
35.1,-1.10970117585808
35.2,-1.10653214908642
35.3,-1.10336735830986
35.4,-1.10020682642538
35.5,-1.09705057632997
35.6,-1.09389863092063
35.7,-1.09075101309434
35.8,-1.08760774574809
35.9,-1.08446885177888
36,-1.08133435408369
36.1,-1.07820427555951
36.2,-1.07507863910334
36.3,-1.07195746761216
36.4,-1.06884078398297
36.5,-1.06572861111275
36.6,-1.06262097189849
36.7,-1.05951788923718
36.8,-1.05641938602582
36.9,-1.05332548516139
37,-1.05023620954088
37.1,-1.04715158206129
37.2,-1.04407162561959
37.3,-1.04099636311279
37.4,-1.03792581743787
37.5,-1.03486001149183
37.6,-1.03179896817164
37.7,-1.02874271037431
37.8,-1.02569126099682
37.9,-1.02264464293616
38,-1.01960287908933
38.1,-1.0165659923533
38.2,-1.01353400562508
38.3,-1.01050694180165
38.4,-1.00748482378
38.5,-1.00446767445712
38.6,-1.00145551673
38.7,-0.998448373495632
38.8,-0.995446267651006
38.9,-0.992449222093111
39,-0.989457259718937
39.1,-0.986470403425473
39.2,-0.98348867610971
39.3,-0.980512100668637
39.4,-0.977540699999245
39.5,-0.974574496998523
39.6,-0.971613514563462
39.7,-0.96865777559105
39.8,-0.965707302978279
39.9,-0.962762119622137
40,-0.959822248419616
40.1,-0.956887712267704
40.2,-0.953958534063391
40.3,-0.951034736703669
40.4,-0.948116343085526
40.5,-0.945203376105952
40.6,-0.942295858661938
40.7,-0.939393813650472
40.8,-0.936497263968546
40.9,-0.933606232513149
41,-0.930720742181271
41.1,-0.927840815869902
41.2,-0.924966476476031
41.3,-0.922097746896649
41.4,-0.919234650028745
41.5,-0.91637720876931
41.6,-0.913525446015333
41.7,-0.910679384663805
41.8,-0.907839047611715
41.9,-0.905004457756053
42,-0.902175637993809
42.1,-0.899352611221972
42.2,-0.896535400337534
42.3,-0.893724028237483
42.4,-0.890918521451455
42.5,-0.888118926836289
42.6,-0.885325298315456
42.7,-0.882537689819518
42.8,-0.879756155279042
42.9,-0.876980748624591
43,-0.874211523786731
43.1,-0.871448534696025
43.2,-0.868691835283039
43.3,-0.865941479478336
43.4,-0.863197521212483
43.5,-0.860460014416043
43.6,-0.85772901301958
43.7,-0.85500457095366
43.8,-0.852286742148847
43.9,-0.849575580535705
44,-0.8468711400448
44.1,-0.844173474606695
44.2,-0.841482638151956
44.3,-0.838798684611147
44.4,-0.836121667914833
44.5,-0.833451641993578
44.6,-0.830788660777946
44.7,-0.828132778198503
44.8,-0.825484048185813
44.9,-0.82284252467044
45,-0.82020826158295
45.1,-0.817581312853906
45.2,-0.814961732413874
45.3,-0.812349574193418
45.4,-0.809744892123102
45.5,-0.807147740133492
45.6,-0.804558172155151
45.7,-0.801976242118645
45.8,-0.799402003954537
45.9,-0.796835511593393
46,-0.794276818965778
46.1,-0.791725980002255
46.2,-0.78918304863339
46.3,-0.786648078789746
46.4,-0.784121124401889
46.5,-0.781602239400383
46.6,-0.779091477715793
46.7,-0.776588893278683
46.8,-0.774094540019618
46.9,-0.771608471869163
47,-0.769130742757882
47.1,-0.766661406616339
47.2,-0.7642005173751
47.3,-0.761748128964729
47.4,-0.75930429531579
47.5,-0.756869070358849
47.6,-0.754442508024469
47.7,-0.752024662243215
47.8,-0.749615586945652
47.9,-0.747215336062345
48,-0.744823963523858
48.1,-0.742441523260756
48.2,-0.740068069203603
48.3,-0.737703655282964
48.4,-0.735348335429403
48.5,-0.733002163573486
48.6,-0.730665193645776
48.7,-0.728337479576839
48.8,-0.726019075297238
48.9,-0.723710034737539
49,-0.721410411828306
49.1,-0.719120260500103
49.2,-0.716839634683496
49.3,-0.714568588309049
49.4,-0.712307175307326
49.5,-0.710055449608893
49.6,-0.707813465144313
49.7,-0.705581275844151
49.8,-0.703358935638972
49.9,-0.701146498459341
50,-0.698944018235821
50.1,-0.696751548898978
50.2,-0.694569144379377
50.3,-0.692396858607582
50.4,-0.690234745514157
50.5,-0.688082859029666
50.6,-0.685941253084676
50.7,-0.68380998160975
50.8,-0.681689098535452
50.9,-0.679578657792348
51,-0.677478713311003
51.1,-0.675389319021979
51.2,-0.673310528855843
51.3,-0.671242396743159
51.4,-0.669184976614491
51.5,-0.667138322400405
51.6,-0.665102488031463
51.7,-0.663077527438233
51.8,-0.661063494551277
51.9,-0.65906044330116
52,-0.657068427618447
52.1,-0.655087501433703
52.2,-0.653117718677492
52.3,-0.651159133280379
52.4,-0.649211799172929
52.5,-0.647275770285705
52.6,-0.645351100549273
52.7,-0.643437843894197
52.8,-0.641536054251042
52.9,-0.639645785491954
53,-0.637767033304606
53.1,-0.635899626008683
53.2,-0.634043362013778
53.3,-0.632198039729484
53.4,-0.630363457565395
53.5,-0.628539413931105
53.6,-0.626725707236207
53.7,-0.624922135890294
53.8,-0.62312849830296
53.9,-0.621344592883799
54,-0.619570218042403
54.1,-0.617805172188367
54.2,-0.616049253731284
54.3,-0.614302261080748
54.4,-0.612563992646351
54.5,-0.610834246837688
54.6,-0.609112822064352
54.7,-0.607399516735936
54.8,-0.605694129262035
54.9,-0.60399645805224
55,-0.602306301516147
55.1,-0.600623458063348
55.2,-0.598947726103437
55.3,-0.597278904046008
55.4,-0.595616790300654
55.5,-0.593961183276968
55.6,-0.592311881384544
55.7,-0.590668683032975
55.8,-0.589031386631856
55.9,-0.587399790590779
56,-0.585773693319337
56.1,-0.584152893227126
56.2,-0.582537188723737
56.3,-0.580926378218765
56.4,-0.579320260121802
56.5,-0.577718632842444
56.6,-0.576121294790282
56.7,-0.57452804437491
56.8,-0.572938680005923
56.9,-0.571353000092913
57,-0.569770803045474
57.1,-0.568191887273199
57.2,-0.566616051185683
57.3,-0.565043093192518
57.4,-0.563472811703297
57.5,-0.561905005127616
57.6,-0.560339471875066
57.7,-0.558776010355241
57.8,-0.557214418977736
57.9,-0.555654496152143
58,-0.554096040288056
58.1,-0.552538849795069
58.2,-0.550982723082774
58.3,-0.549427458560766
58.4,-0.547872854638638
58.5,-0.546318709725983
58.6,-0.544764822232395
58.7,-0.543210990567468
58.8,-0.541657013140795
58.9,-0.540102688361969
59,-0.538547814640584
59.1,-0.536992190386233
59.2,-0.535435614008511
59.3,-0.53387788391701
59.4,-0.532318798521323
59.5,-0.530758156231046
59.6,-0.52919575545577
59.7,-0.527631394605089
59.8,-0.526064872088598
59.9,-0.524495986315889
60,-0.522924535696556
60.1,-0.521350318640192
60.2,-0.519773133556392
60.3,-0.518192778854748
60.4,-0.516609052944853
60.5,-0.515021754236303
60.6,-0.513430681138689
60.7,-0.511835632061605
60.8,-0.510236405414646
