"DIST_ROAD","s(DIST_ROAD)"
56500,-0.0725300262787568
56600,-0.067352322845235
56700,-0.0621747947190202
56800,-0.0569980865362564
56900,-0.0518228429330891
57000,-0.0466497085456633
57100,-0.0414793280101239
57200,-0.036312345962616
57300,-0.0311494070392848
57400,-0.0259911558762749
57500,-0.0208382371097319
57600,-0.0156912953758003
57700,-0.0105509753106252
57800,-0.00541792155035196
57900,-0.000292778731125291
58000,0.00482382617665169
58100,0.00993161917463722
58200,0.0150306519238534
58300,0.020120988277415
58400,0.0252026920884371
58500,0.0302758272100337
58600,0.03534045749532
58700,0.0403966467974106
58800,0.0454444589694203
58900,0.050483957864464
59000,0.0555152073356563
59100,0.0605382712361115
59200,0.0655532134189449
59300,0.0705600977372712
59400,0.075558988044205
59500,0.0805499481928612
59600,0.0855330420363542
59700,0.090508333427799
59800,0.0954758862203103
59900,0.100435764267003
60000,0.105388031420991
60100,0.110332751535391
60200,0.115269988463315
60300,0.12019980605788
60400,0.1251222681722
60500,0.13003743865939
60600,0.134945381372563
60700,0.139846160164837
60800,0.144739838889324
60900,0.149626481399139
61000,0.154506151547398
61100,0.159378913187215
61200,0.164244830171705
61300,0.169103966353983
61400,0.173956385587163
61500,0.17880215172436
61600,0.183641328618688
61700,0.188473980123264
61800,0.193300170091201
61900,0.198119962375613
62000,0.202933420829617
62100,0.207740609306326
62200,0.212541591658855
62300,0.217336431740319
62400,0.222125193403833
62500,0.226907940502511
62600,0.231684736889469
62700,0.236455646417821
62800,0.241220732940681
62900,0.245980060311165
63000,0.250733692382387
63100,0.255481693007462
63200,0.260224126039504
63300,0.264961055331629
63400,0.269692544736951
63500,0.274418658108585
63600,0.279139459299646
63700,0.283855012163248
63800,0.288565380552506
63900,0.293270628320535
64000,0.297970819320449
64100,0.302666017405364
64200,0.307356286428394
64300,0.312041690242654
64400,0.316722292701258
64500,0.321398157657322
64600,0.326069348963959
64700,0.330735930474286
64800,0.335397966041415
64900,0.340055519518464
65000,0.344708654758545
65100,0.349357435614773
65200,0.354001925940265
65300,0.358642189588133
65400,0.363278290411493
65500,0.367910292263461
65600,0.372538258997149
65700,0.377162254465674
65800,0.38178234252215
65900,0.386398587019691
66000,0.391011051811413
66100,0.395619800750429
66200,0.400224897689856
66300,0.404826406482807
66400,0.409424390982398
66500,0.414018915041743
66600,0.418610042513956
66700,0.423197837252153
66800,0.427782363109449
66900,0.432363683938957
67000,0.436941863593794
67100,0.441516965927073
67200,0.446089054791909
67300,0.450658194041417
67400,0.455224447528712
67500,0.459787879106908
67600,0.464348552629121
67700,0.468906531948464
67800,0.473461880918054
67900,0.478014544610715
68000,0.482563878424359
68100,0.487109055113263
68200,0.491649247376761
68300,0.496183627914183
68400,0.500711369424862
68500,0.50523164460813
68600,0.509743626163319
68700,0.51424648678976
68800,0.518739399186787
68900,0.523221536053731
69000,0.527692070089923
69100,0.532150173994696
69200,0.536595020467381
69300,0.541025782207312
69400,0.545441631913819
69500,0.549841742286236
69600,0.554225286023893
69700,0.558591435826123
69800,0.562939364392257
69900,0.567268244421629
70000,0.571577248613569
70100,0.57586554966741
70200,0.580132320282484
70300,0.584376733158122
70400,0.588597960993658
70500,0.592795176488422
70600,0.596967552341747
70700,0.601114261252965
70800,0.605234475921407
70900,0.609327369046407
71000,0.613392113327294
71100,0.617427881463404
