"FISHNET_AB","X","Y","te(X,Y)"
4376,-114.680236163,54.5001298531,1.16973832498488
4377,-114.525765792,54.499622692,1.52166735186082
4378,-114.371301155,54.4989182112,1.88170031831023
4379,-114.21684412,54.4980164293,2.24385023714625
4428,-117.454177916,54.3857011736,-1.36726801742351
4429,-117.300259907,54.3887329877,-0.867954017820804
4430,-117.146314292,54.3915686873,-0.508615696636466
4431,-116.992342913,54.3942081975,-0.284479033634307
4432,-116.838347611,54.3966514484,-0.189611758299451
4433,-116.684330228,54.3988983753,-0.217695748568965
4434,-116.53029261,54.4009489187,-0.348777636156494
4435,-116.376236603,54.4028030242,-0.517509995884047
4436,-116.222164056,54.4044606428,-0.657406605030503
4437,-116.068076817,54.4059217305,-0.710658064971684
4438,-115.913976737,54.4071862485,-0.625803155521676
4439,-115.759865667,54.4082541635,-0.378616046449573
4440,-115.605745458,54.409125447,-0.0262264162834822
4441,-115.451617965,54.4098000759,0.361626739782271
4442,-115.297485039,54.4102780324,0.719232207874038
4443,-115.143348535,54.4105593038,0.995745863476353
4444,-114.989210307,54.4106438826,1.19277639193451
4445,-114.835072208,54.4105317666,1.32301731675242
4446,-114.680936094,54.4102229587,1.3972247655756
4447,-114.526803817,54.4097174672,1.42482368643094
4448,-114.372677232,54.4090153054,1.4145016870379
4449,-114.218558191,54.408116492,1.37480064348017
4498,-117.44883012,54.2958735183,-2.71638307033756
4499,-117.295246764,54.2988953733,-1.50688037773148
4500,-117.141636008,54.3017217568,-0.50764389754569
4501,-116.987999677,54.3043525942,0.244654741077278
4502,-116.8343396,54.3067878162,0.715588149753832
4503,-116.680657606,54.3090273585,0.872663325373512
4504,-116.526955527,54.3110711621,0.721892036125163
4505,-116.373235196,54.3129191728,0.392218862855293
4506,-116.219498446,54.314571342,0.0346264411376426
4507,-116.065747114,54.3160276261,-0.20378092686379
4508,-115.911983036,54.3172879865,-0.17919336047489
4509,-115.758208049,54.3183523901,0.184446181751301
4510,-115.604423991,54.3192208086,0.74076059531807
4511,-115.450632703,54.3198932191,1.30013610019391
4512,-115.296836022,54.3203696038,1.67566093641581
4513,-115.14303579,54.3206499502,1.72121982971868
4514,-114.989233847,54.3207342509,1.44958425684508
4515,-114.835432032,54.3206225036,0.909642171209556
4516,-114.681632186,54.3203147112,0.147050906675325
4517,-114.52783615,54.319810882,-0.794758851961217
4519,-114.220262865,54.3182151713,-3.04748706003891
4567,-117.596733067,54.2028374677,-3.70979061245944
4568,-117.443511549,54.2060441591,-2.63918483857014
4569,-117.290261022,54.2090560982,-1.64995366564996
4570,-117.136983297,54.2118732059,-0.785969158073995
4571,-116.983680187,54.2144954082,-0.091746528017655
4572,-116.830353506,54.2169226361,0.387998182383101
4573,-116.67700507,54.2191548258,0.608752500712941
4574,-116.523636697,54.2211919187,0.563778216370168
4575,-116.370250206,54.2230338611,0.365095702487946
4576,-116.216847419,54.2246806046,0.152305961817915
4577,-116.063430157,54.2261321059,0.0691816501390032
4578,-115.910000243,54.2273883267,0.262503376495804
4579,-115.756559501,54.2284492341,0.793006892632443
4580,-115.603109756,54.2293148,1.43322548765241
4581,-115.449652833,54.2299850016,1.89726102820492
4582,-115.296190558,54.2304598215,1.89884129047721
4583,-115.142724757,54.2307392469,1.2170571783937
4584,-114.989257258,54.2308232706,-0.108412898001076
4585,-114.835789887,54.2307118904,-1.97754452510767
4586,-114.68232447,54.2304051092,-4.29384567575199
4634,-118.049594127,54.1022645403,-3.54302079623613
4635,-117.896800561,54.1060425463,-3.19321263349777
4636,-117.743972822,54.1096267028,-2.80247304784029
4637,-117.591112699,54.1130169161,-2.38304370517629
4638,-117.438221986,54.1162130975,-1.95009095993299
4639,-117.285302478,54.1192151635,-1.52143488866748
4640,-117.132355973,54.1220230354,-1.11729027019196
4641,-116.979384268,54.1246366397,-0.759858685379255
4642,-116.826389167,54.127055908,-0.472809926337687
4643,-116.67337247,54.1292807769,-0.280728943635816
4644,-116.520335984,54.1313111881,-0.187263599789615
4645,-116.367281514,54.1331470884,-0.13128421079346
4646,-116.214210867,54.1347884297,-0.034175305672378
4647,-116.061125852,54.1362351688,0.18820357426863
4648,-115.908028279,54.137487268,0.62417018177334
4649,-115.754919957,54.1385446942,1.27646042445896
4650,-115.601802698,54.1394074199,1.86847933038006
4651,-115.448678315,54.1400754223,2.06703981069343
4652,-115.295548619,54.140548684,1.53718002037038
4653,-115.142415423,54.1408271925,0.0257459195308812
4704,-118.043018719,54.0124774355,-2.03470305255039
4705,-117.89055345,54.0162430779,-1.95296363178437
4706,-117.738054259,54.0198155031,-1.85755099773839
4707,-117.585522922,54.023194618,-1.74638534265279
4708,-117.432961219,54.0263803347,-1.61857457115552
4709,-117.280370933,54.0293725699,-1.47435674843146
4710,-117.127753847,54.0321712458,-1.31500523448671
4711,-116.975111747,54.0347762892,-1.14269891810265
4712,-116.822446422,54.0371876322,-0.960360567506156
4713,-116.669759661,54.0394052118,-0.771455996951353
4714,-116.517053256,54.0414289701,-0.572693018945234
4715,-116.364328999,54.0432588543,-0.340111471469214
4716,-116.211588684,54.0448948165,-0.043214015478663
4717,-116.058834106,54.0463368141,0.351359610885019
4718,-115.906067062,54.0475848092,0.879040963387389
4719,-115.753289349,54.0486387694,1.50130459184544
