"FFMC","s(FFMC)"
32.1,-0.764102030885245
32.2,-0.762579092668353
32.3,-0.761050390321607
32.4,-0.759515888702424
32.5,-0.757975552668217
32.6,-0.756429352267341
32.7,-0.754877317892819
32.8,-0.753319518869717
32.9,-0.75175602517197
33,-0.750186906773513
33.1,-0.748612233648279
33.2,-0.747032075770203
33.3,-0.745446503113219
33.4,-0.743855585651262
33.5,-0.742259393358265
33.6,-0.740657996208163
33.7,-0.739051464174891
33.8,-0.737439867232382
33.9,-0.735823275354572
34,-0.734201758515393
34.1,-0.732575386688782
34.2,-0.730944229848671
34.3,-0.729308357968995
34.4,-0.727667841023689
34.5,-0.726022748986687
34.6,-0.724373151831923
34.7,-0.722719119533331
34.8,-0.721060722064846
34.9,-0.719398029400402
35,-0.717731111513934
35.1,-0.716060038379375
35.2,-0.71438487997066
35.3,-0.712705706261724
35.4,-0.7110225872265
35.5,-0.709335592838923
35.6,-0.707644793072927
35.7,-0.705950257902447
35.8,-0.704252057301416
35.9,-0.70255026124377
36,-0.700844939703442
36.1,-0.699136162654367
36.2,-0.697424000070479
36.3,-0.695708521925713
36.4,-0.693989798194002
36.5,-0.692267898849281
36.6,-0.690542893865484
36.7,-0.688814853216546
36.8,-0.687083846876401
36.9,-0.685349944818983
37,-0.683613217018226
37.1,-0.681873733448066
37.2,-0.680131564082435
37.3,-0.678386778895269
37.4,-0.676639447860502
37.5,-0.674889640952068
37.6,-0.673137428143901
37.7,-0.671382879409936
37.8,-0.669626064724107
37.9,-0.667867054060348
38,-0.666105917392594
38.1,-0.664342724694778
38.2,-0.662577545940837
38.3,-0.660810451104702
38.4,-0.659041510160309
38.5,-0.657270793081593
38.6,-0.655498369842486
38.7,-0.653724310416925
38.8,-0.651948684778843
38.9,-0.650171562902173
39,-0.648393014760852
39.1,-0.646613110328813
39.2,-0.64483191957999
39.3,-0.643049512488318
39.4,-0.64126595902773
39.5,-0.639481329172162
39.6,-0.637695692895547
39.7,-0.63590912017182
39.8,-0.634121680974915
39.9,-0.632333445278767
40,-0.630544483057309
40.1,-0.628754864284477
40.2,-0.626964658934204
40.3,-0.625173936980424
40.4,-0.623382768397073
40.5,-0.621591223158083
40.6,-0.619799371237391
40.7,-0.618007282608929
40.8,-0.616215027246633
40.9,-0.614422675124436
41,-0.612630296216273
41.1,-0.610837960496078
41.2,-0.609045737937785
41.3,-0.607253698515329
41.4,-0.605461912202645
41.5,-0.603670448973666
41.6,-0.601879378802326
41.7,-0.60008877166256
41.8,-0.598298697528303
41.9,-0.596509226373488
42,-0.59472042817205
42.1,-0.592932372897924
42.2,-0.591145130525042
42.3,-0.589358771027341
42.4,-0.587573364378754
42.5,-0.585788980553215
42.6,-0.58400568952466
42.7,-0.58222356126702
42.8,-0.580442665754233
42.9,-0.578663072960231
43,-0.576884852858949
43.1,-0.575108075424322
43.2,-0.573332810630283
43.3,-0.571559128450767
43.4,-0.569787098904558
43.5,-0.56801679929293
43.6,-0.566248322188525
43.7,-0.564481762086918
43.8,-0.562717213483685
43.9,-0.560954770874404
44,-0.559194528754651
44.1,-0.557436581620002
44.2,-0.555681023966034
44.3,-0.553927950288323
44.4,-0.552177455082446
44.5,-0.550429632843979
44.6,-0.548684578068499
44.7,-0.546942385251582
44.8,-0.545203148888805
44.9,-0.543466963475744
45,-0.541733923507976
45.1,-0.540004123481077
45.2,-0.538277657890624
45.3,-0.536554621232193
45.4,-0.534835108001361
45.5,-0.533119212693704
45.6,-0.531407029804799
45.7,-0.529698653830221
45.8,-0.527994179265549
45.9,-0.526293700606358
46,-0.524597312348224
