"FISHNET_AB","X","Y","COMBINED_STATIC_EFFECTS"
3543,-113.560989326,55.5709018093,-10.4986477075993
3544,-113.402398927,55.568937256,-10.5882672260613
3545,-113.243829107,55.5667676226,-12.4205144545424
3580,-118.784033189,55.430926921,-6.28404445339416
3581,-118.626265972,55.4357105456,-6.17588005663734
3605,-114.830595217,55.4893381537,-6.28540089473106
3606,-114.67227519,55.4890168031,-9.66928203438628
3607,-114.513959365,55.4884907806,-8.30341040421457
3608,-114.355649774,55.4877601008,-7.54898861524588
3609,-114.197348445,55.486824784,-7.50698626113383
3610,-114.039057408,55.4856848561,-8.50485602169113
3611,-113.88077869,55.4843403486,-8.91463636847564
3612,-113.722514318,55.4827912988,-9.43232052413837
3676,-114.673019301,55.399124696,-6.65481636580557
3743,-115.146572995,55.3095789304,-6.9072002216515
3813,-115.14624241,55.2196829921,-7.52844410752282
3814,-114.988992487,55.2197701301,-7.96048186539685
3878,-115.930329016,55.1263221535,-8.93551277128339
3879,-115.773461422,55.1274187225,-9.68591468214314
3880,-115.616584122,55.1283133852,-7.98838361692884
3883,-115.14591367,55.1297857192,-8.05193304441307
3884,-114.989017231,55.1298725677,-9.71071858453341
3885,-114.83212093,55.129757443,-7.65022449782649
3886,-114.675226736,55.1294403481,-7.72507584900566
3922,-119.955702916,54.9380162875,-8.26645485840026
3943,-116.71061376,55.0279530594,-9.79988912413556
3944,-116.554174884,55.0300516189,-10.0647732938223
3945,-116.397716625,55.0319491451,-9.34000634227949
3946,-116.241240933,55.0336455862,-11.8569759212776
3948,-115.92824504,55.0364350346,-8.7605266983081
3949,-115.771728742,55.037527966,-9.40903432229306
3950,-115.615202812,55.0384196608,-6.93549394733033
3951,-115.458669203,55.0391100947,-6.72104561932415
3952,-115.302129868,55.0395992489,-6.60246412465297
3953,-115.145586761,55.0398871101,-8.23498469706422
3954,-114.989041837,55.0399736705,-8.11528793732944
3955,-114.83249705,55.0398589277,-8.083441359431
3956,-114.675954353,55.0395428849,-8.99777754118862
3992,-119.950250709,54.8483199421,-8.39400431144038
3993,-119.821600638,54.8543097131,-7.65555378017005
3996,-119.35552173,54.8719547106,-7.85362850240981
3997,-119.200052332,54.8774395256,-7.45041174783817
4013,-116.706796256,54.9380926498,-9.98609862542511
4014,-116.550706139,54.9401842585,-10.1298464468398
4015,-116.394596786,54.9420754991,-9.2884892943306
4016,-116.238470131,54.9437663203,-10.1544798810263
4017,-116.082328107,54.9452566763,-9.23503636656444
4018,-115.92617265,54.9465465268,-8.8251122485057
4019,-115.770005696,54.9476358368,-8.74900629320514
4020,-115.613829182,54.9485245768,-6.81800442610512
4021,-115.457645048,54.9492127227,-6.54128270351468
4022,-115.301455231,54.9497002559,-6.34411750525393
4023,-115.14526167,54.9499871632,-6.72431975788845
4024,-114.989066306,54.9500734367,-9.72670113819784
4025,-114.832871078,54.9499590742,-8.03292428072103
4026,-114.676677925,54.9496440787,-8.35407172336487
4062,-119.944829997,54.7586033703,-8.22315685166849
4063,-119.810920303,54.7647243922,-8.2849303709464
4064,-119.655958348,54.7707842942,-7.40377895714527
4065,-119.500939439,54.776646626,-7.25944984470681
4066,-119.345865437,54.782311231,-7.64463881105038
4067,-119.190738207,54.7877779574,-7.97705543600743
4068,-119.035559619,54.793046659,-7.82789216501224
4084,-116.54725663,54.8503154142,-9.65223070539806
4085,-116.391494251,54.8522003971,-8.69677587407691
4086,-116.235714698,54.8538856233,-9.01486394924942
4087,-116.079919893,54.8553710472,-8.73927101952496
4088,-115.924111755,54.8566566289,-8.44753927380168
4089,-115.768292208,54.8577423336,-7.90454365651368
4090,-115.612463173,54.858628132,-6.75846038798002
4091,-115.456626575,54.8593140001,-6.21566547257014
4092,-115.300784337,54.8597999195,-6.13423383665612
4093,-115.144938383,54.860085877,-7.31245286419516
4094,-114.98909064,54.860171865,-9.77425609224476
4095,-114.833243031,54.860057881,-9.8406594276868
4132,-119.939441054,54.6688712705,-7.62675140509264
4133,-119.80029878,54.6751363389,-7.4475913677999
4134,-119.645675891,54.6811762947,-7.62044579961519
4135,-119.490996473,54.6870193249,-7.75456351207262
4136,-119.336262372,54.692665274,-8.07004878996907
4137,-119.18147544,54.6981139914,-8.04549133340857
4138,-119.026637535,54.7033653317,-7.8796409998749
4139,-118.871750514,54.7084191546,-8.11508581088491
4140,-118.716816241,54.7132753253,-7.54924406515318
4143,-118.251748602,54.7266566518,-9.61260201977432
4156,-116.232974518,54.7640034943,-7.80022389378858
4157,-116.077525011,54.765484008,-7.36199165520162
4158,-115.922062272,54.7667653398,-7.7883892898704
4159,-115.766588208,54.7678474551,-7.38975916136444
4160,-115.611104728,54.7687303248,-6.66464831455124
4161,-115.455613742,54.7694139253,-5.19981373735881
4162,-115.300117158,54.769898238,-5.82374867799038
4163,-115.144616887,54.7701832501,-7.22509999102909
4164,-114.989114839,54.7702689537,-10.1104711773258
4165,-114.833612925,54.7701553466,-10.2843238328861
4202,-119.934073729,54.5791272046,-8.14752014957492
4203,-119.789735631,54.5855455626,-7.75068056567088
4204,-119.635449965,54.5915656592,-8.14822911279285
